voyage_id	vessel_name	flag	place_of_slave_purchase	place_of_slave_disembarkation	total_embarked	total_disembarked	year_of_arrival	percent_men	percent_women	percent_children	captain's_name	resistance_label
101035	Domingo	Great Britain	St. Kitts, port unspecified	Lower James River	3	2	1736				Williams, William	
101036	Saunders	Great Britain	Barbados, port unspecified	Lower James River	4	3	1736				Calvert, Cornelius	
101037	Saunders	Great Britain	Antigua, port unspecified	Lower James River	2	1	1736				Archer, Edward	
101038	Rebecca and Batchelor	Great Britain	Bermuda	York River	2	1	1736				Robinson, William	
101039	Hampton	Great Britain	Barbados, port unspecified	Lower James River	4	3	1736				Tucker, John	
101040	Providence	Great Britain	Jamaica, port unspecified	Lower James River	3	2	1736				Ivy, Joseph	
101041	Saint George	Great Britain	Barbados, port unspecified	Lower James River	3	2	1736				Parke, Julius Caesar	
101042	Abingdon	Great Britain	Barbados, port unspecified	York River	3	2	1736				Westcott, John	
101043	Ann and Frances	Great Britain	Barbados, port unspecified	Lower James River	4	3	1736				Connor, William	
101044	Industry	Great Britain	Barbados, port unspecified	Hampton	7	6	1736				Westcott, John	
101045	Unity	Great Britain	Spanish Town	Hampton	2	1	1736				White, Charles	
101046	Tryall	Great Britain	Jamaica, port unspecified	Hampton	2	1	1736				Dickenson, John	
101047	Ann	Great Britain	Bermuda	Upper James River	4	3	1736				Dickenson, James	
101048	Saunders	Great Britain	Bermuda	Hampton	5	4	1736				Thomas, John	
101049	John and Mary	Great Britain	Barbados, port unspecified	York River	2	1	1736				Tillidge, Richard	
101050	John	Great Britain	Montserrat, port unspecified	Hampton	3	2	1736				Ober, Hezekiah	
101051	Increase	Great Britain	Barbados, port unspecified	Upper James River	2	1	1736				Darrell, William	
101052	Elizabeth	Great Britain	Bermuda	Hampton	3	2	1736				Robinson, Robert	
101053	Brunswick	Great Britain	Boston	Upper James River	2	1	1736				Shippard, William	
101054	Henry and Benjamin	Great Britain	Jamaica, port unspecified	Upper James River	2	1	1736				Friend, Thomas	
101055	Charming Ann	Great Britain	Antigua, port unspecified	Hampton	2	1	1736				Browne, John	
101056	Mary and Elizabeth	Great Britain	Antigua, port unspecified	Hampton	3	2	1736				Brown, Bristow	
101057	Clotilda	Great Britain	Barbados, port unspecified	Rappahannock	8	7	1737				Bouch, Elihu	
101058	Priscilla	Great Britain	Jamaica, port unspecified	Hampton	2	1	1737				Sinnot, Charles	
101059	Phoenix	Great Britain	St. Kitts, port unspecified	Hampton	3	2	1737				Hutchinson, Joel	
101060	Saunders	Great Britain	Anguilla, port unspecified	Hampton	4	3	1737				Thomas, John	
101061	Mary and Elizabeth	Great Britain	Bermuda	Hampton	5	4	1737				Brown, Bristow	
101062	Sarah	Great Britain	Barbados, port unspecified	Hampton	6	5	1737				Tucker, John	
101063	William	Great Britain	Barbados, port unspecified	Rappahannock	3	2	1737				Taylor, Joseph	
101064	Elizabeth	Great Britain	Bermuda	Hampton	3	2	1737				Robinson, Robert	
101065	Anne	Great Britain	Jamaica, port unspecified	Hampton	4	3	1737				McNary, William	
101066	Saunders	Great Britain	Barbados, port unspecified	Hampton	2	1	1737				Calvert, Cornelius	
101067	Elizabeth and Margaret	Great Britain	Antigua, port unspecified	Hampton	8	7	1737				Wishart, William	
101068	Molly	Great Britain	Barbados, port unspecified	Hampton	3	2	1737				Moseley, Anthony	
101069	Neptune	Great Britain	Antigua, port unspecified	Rappahannock	21	20	1737				Boyd, Thomas	
101070	Frances	Great Britain	St. Kitts, port unspecified	Hampton	37	36	1737				Miller, Mason	
101071	Phoenix	Great Britain	Jamaica, port unspecified	Hampton	5	4	1737				Savage, Habijah	
101072	Abingdon	Great Britain	Barbados, port unspecified	York River	5	4	1737				Westcott, John	
101073	Antigua Merchant	Great Britain	Lower James River	Upper James River	12	11	1737				Payne, Arthur	
101074	Rebecca and Freelove	Great Britain	Barbados, port unspecified	Hampton	2	1	1737				Brett, John	
101075	Anne	Great Britain	Bermuda	Hampton	5	4	1737				Dickenson, James	
101076	Pembrooke	Great Britain	Bermuda	Hampton	2	1	1737				Tucker, St. George	
101077	Tryall	Great Britain	Boston	Hampton	2	1	1737				Lear, Tobias	
101078	Glasgow	Great Britain	St. Kitts, port unspecified	Hampton	25	24	1737				Bulkley, James	
101079	Sarah	Great Britain	Boston	Hampton	2	1	1738				Thomas, Joshua	
101080	Merrimack	Great Britain	Boston	Hampton	2	1	1738				Robinson, John	
101081	Susannah	Great Britain	Jamaica, port unspecified	Hampton	2	1	1738				Nelms, Thomas	
101082	Frances	Great Britain	Bermuda	Lower James River	2	1	1738				Butterfield, Benjamin	
101083	Unity	Great Britain	St. Kitts, port unspecified	Lower James River	83	81	1738				Corbitt, James	
101084	Phoenix	Great Britain	Barbados, port unspecified	Lower James River	34	33	1738				Newton, Thomas	
101085	Amy	Great Britain	Barbados, port unspecified	Lower James River	17	16	1738				Savage, Habijah	
101086	Frederica	Great Britain	Georgia, port unspecified	Lower James River	69	67	1738				Goodwin, John	
101087	Saint Michael	Great Britain	Barbados, port unspecified	Lower James River	2	1	1738				Hutchinson, Joel	
101088	William and Betty	Great Britain	Jamaica, port unspecified	Lower James River	2	1	1738				Moore, James	
101089	Industry	Great Britain	Barbados, port unspecified	Lower James River	3	2	1738				Hancock, William	
101090	Molly	Great Britain	Barbados, port unspecified	York River	4	3	1738				Thompson, John	
101091	Nancy	Great Britain	Barbados, port unspecified	Upper James River	2	1	1738				Johnston, Samuel	
101092	Glasgow	Great Britain	St. Kitts, port unspecified	Lower James River	22	21	1738				Bulkley, John	
101093	Anne	Great Britain	Bermuda	Hampton	4	3	1738				Dickenson, James	
101094	Three Friends	Great Britain	Antigua, port unspecified	Hampton	10	9	1738				Farr, John	
101095	Grampus	Great Britain	New England	York River	2	1	1738				Brigges, John	
101096	Ruby	Great Britain	Bermuda	Hampton	6	5	1738				Paynter, Paul	
101097	Saint Michael	Great Britain	Barbados, port unspecified	Hampton	6	5	1738				Hutchinson, Joel	
101098	Thistle	Great Britain	Philadelphia	Hampton	2	1	1738				Wilson, John	
101099	Exeter	Great Britain	Charleston	Upper James River	7	7	1738				Duncome, Nehemiah	
101100	Race Horse	Great Britain	Boston	Hampton	2	1	1738				Odiorne, John	
101101	Nassaw	Great Britain	Boston	Upper James River	3	2	1738				Miller, John	
101102	Hopewell	Great Britain	Rhode Island, port unspecified	York River	2	1	1739				Armstrong, John	
101103	Jane	Great Britain	Antigua, port unspecified	Hampton	11	10	1739				Rooke, Edward	
101104	Ruby	Great Britain	Barbados, port unspecified	Hampton	3	2	1739				Tarrant, William	
101105	Boyde	Great Britain	St. Kitts, port unspecified	Hampton	2	1	1739				Lambeth, John	
101106	Robert	Great Britain	Barbados, port unspecified	Hampton	3	2	1739				Rogers, Samuel	
101107	Margaret	Great Britain	Barbados, port unspecified	Hampton	2	1	1739				Williamson, Thomas	
101108	Martha and Mary	Great Britain	Barbados, port unspecified	Hampton	12	11	1739				Cooper, Samuel	
101109	Eagle	Great Britain	Antigua, port unspecified	Hampton	16	15	1739				Jennings, Richard	
101110	Saint Michael	Great Britain	Barbados, port unspecified	Hampton	2	1	1739				Nicholson, John	
101111	Anne	Great Britain	Jamaica, port unspecified	Hampton	8	7	1739				Ivy, William	
101112	Robert and John	Great Britain	Barbados, port unspecified	Hampton	2	1	1739				Cooke, John	
101113	Molly	Great Britain	Barbados, port unspecified	Hampton	5	4	1739				Northcott, James	
101114	Sea Nymph	Great Britain	Maryland, port unspecified	York River	2	1	1739				Ashington, Thomas	
101116	Rebecca and Freelove	Great Britain	Jamaica, port unspecified	Hampton	12	11	1739				Brett, John	
101117	Little Molly	Great Britain	Jamaica, port unspecified	Hampton	2	1	1739				Miller, Henry	
101118	Mary	Great Britain	Bermuda	Hampton	8	7	1739				James, Benjamin	
101119	Mary	Great Britain	Bermuda	Hampton	9	8	1739				Brownlow, Israel	
101120	Breda	Great Britain	South Carolina, port unspecified	Upper James River	5	4	1740				Pitman, William	
101121	Anne and Mary	Great Britain	Jamaica, port unspecified	Hampton	4	3	1740				Sinnot, Charles	
101122	Charity	Great Britain	Bermuda	Hampton	2	1	1740				Gibbs, George	
101123	Saint Michael	Great Britain	Barbados, port unspecified	Hampton	2	1	1740				Nicholas, Isaiah	
101124	James and Margaret	Great Britain	St. Kitts, port unspecified	North Carolina, port unspecified	6	5	1740				Gastelon, Edward	
101125	Little Molly	Great Britain	Barbados, port unspecified	Hampton	3	2	1740				Miller, Henry	
101126	Mary	Great Britain	Bermuda	Hampton	2	1	1740				Brownlow, Israel	
101127	Anne	Great Britain	St. Kitts, port unspecified	Hampton	33	32	1740				Walker, George	
101128	Ann and Frances	Great Britain	Barbados, port unspecified	Hampton	4	3	1740				Nicholas, Andrew	
101129	Caledonia	Great Britain	Antigua, port unspecified	Hampton	21	20	1740				Moncrieff, George	
101130	Catherine	Great Britain	Barbados, port unspecified	Hampton	5	4	1740				Murray, Alexander	
101131	Molly	Great Britain	Barbados, port unspecified	Hampton	17	16	1740				Northcott, John	
101132	Pugh	Great Britain	Barbados, port unspecified	Hampton	9	8	1740				Gardener, Christopher	
101133	Tryall	Great Britain	St. Kitts, port unspecified	Hampton	17	16	1740				Brown, Hugh	
101134	Saunders	Great Britain	Antigua, port unspecified	Hampton	2	1	1740				Calvert, Cornelius	
101135	Anne	Great Britain	St. Kitts, port unspecified	Hampton	32	31	1740				Leycroft, Oliver	
101136	Crusier	Great Britain	Barbados, port unspecified	Hampton	3	2	1740				Westcott, Wright	
101137	Boyde	Great Britain	Jamaica, port unspecified	Hampton	7	6	1740				Lambert, John	
101138	Charming Sally	Great Britain	St. Kitts, port unspecified	Hampton	37	36	1740				Maxwell, John	
101139	Swan	Great Britain	Boston	Upper James River	2	1	1740				Doggett, Joseph	
101140	Little Molly	Great Britain	Barbados, port unspecified	Upper James River	2	1	1740				Cabonis, George	
101141	Vine	Great Britain	Antigua, port unspecified	Hampton	5	4	1740				Murray, James	
101142	Anne and Mary	Great Britain	Jamaica, port unspecified	Hampton	8	7	1740				Sinnot, Charles	
101143	Fanny	Great Britain	St. Kitts, port unspecified	Hampton	3	2	1740				Furmidge, William	
101144	Catherine	Great Britain	Barbados, port unspecified	Hampton	16	15	1740				Murray, Alexander	
101145	William	Great Britain	Jamaica, port unspecified	Hampton	8	7	1740				Connor, William	
101146	Anne	Great Britain	St. Kitts, port unspecified	Hampton	3	2	1740				Leycroft, Oliver	
101147	Lucy	Great Britain	Jamaica, port unspecified	Upper James River	4	3	1740				Goodman, Thomas	
101148	Adventure	Great Britain	Jamaica, port unspecified	Hampton	7	6	1740				Bayne, Alexander	
101149	Speedwell	Great Britain	New Providence	Upper James River	2	2	1740				Duncome, Nehemiah	
101150	Endeavour	Great Britain	St. Kitts, port unspecified	Hampton	3	2	1741				Hawkins, James	
101151	Anne	Great Britain	St. Kitts, port unspecified	Hampton	4	3	1741				Newton, Wilson	
101152	Anne	Great Britain	Nevis, port unspecified	Hampton	3	2	1741				Hutchinson, Joel	
101153	Eleanor	Great Britain	Antigua, port unspecified	Hampton	11	10	1741				Thompson, John	
101154	Shear Water	Great Britain	New London	Hampton	2	1	1741				Bradick, John	
101155	Catherine	Great Britain	Barbados, port unspecified	Hampton	3	2	1741				Murray, Alexander	
101156	Griffin	Great Britain	Barbados, port unspecified	Rappahannock	13	12	1741				Dixon, Joshua	
101157	Royal Ranger	Great Britain	Barbados, port unspecified	Hampton	4	3	1741				Frith, Solomon	
101158	Friendly Society	Great Britain	Barbados, port unspecified	Hampton	27	26	1741				Dickenson, Francis	
101159	Joseph	Great Britain	Bermuda	Hampton	2	1	1741				Ingham, John	
101160	Martha and Susanna	Great Britain	Antigua, port unspecified	Hampton	16	15	1741				Greatbeach, Thomas	
101161	Pugh	Great Britain	Antigua, port unspecified	Hampton	4	3	1741				Gardner, Christopher	
101162	Jane and Elizabeth	Great Britain	Barbados, port unspecified	Hampton	3	2	1741				Seward, Thomas	
101163	Polly	Great Britain	St. Kitts, port unspecified	Hampton	19	18	1741				Ivy, Joseph	
101164	Grand Master	Great Britain	St. Kitts, port unspecified	Hampton	11	10	1741				Hall, Thomas	
101165	Endeavour	Great Britain	Barbados, port unspecified	Hampton	19	18	1741				Cooke, John	
101166	Saint Michael	Great Britain	Barbados, port unspecified	Hampton	8	7	1741				Miller, Henry	
101167	Oliver	Great Britain	Antigua, port unspecified	Hampton	11	10	1741				Payne, James	
101168	Dragon	Great Britain	Philadelphia	Hampton	2	1	1741				Hughs, Constant.	
101169	Susanna	Great Britain	Barbados, port unspecified	Rappahannock	4	3	1741				Miller, Mason	
101170	Fanny	Great Britain	Bermuda	Upper James River	2	1	1741				Darrell, Henry	
101171	John and Mary	Great Britain	Barbados, port unspecified	York River	28	27	1741				Tillidge, Richard	
101172	Saunders	Great Britain	Barbados, port unspecified	Lower James River	2	1	1741				Calvert, Jonathan	
101173	Sarah and Hannah	Great Britain	Antigua, port unspecified	Upper James River	11	10	1741				Friend, Thomas	
101174	Industry	Great Britain	Barbados, port unspecified	Hampton	42	41	1741				Malbone, Reo'd	
101175	Mary	Great Britain	Bermuda	Hampton	4	3	1741				Smith, Samuel	
101176	Joseph	Great Britain	Bermuda	Hampton	2	1	1741				Pitt, William	
101177	Sarah and Elizabeth	Great Britain	Bermuda	York River	2	1	1741				Wainwright, William	
101178	Elizabeth	Great Britain	Bermuda	Hampton	3	2	1741				Higgs, William	
101179	Margaret and Mary	Great Britain	Philadelphia	Hampton	2	1	1741				Millet, John	
101180	Mary	Great Britain	Antigua, port unspecified	Hampton	3	2	1741				Thibou, John	
101181	Diamond	Great Britain	Bermuda	Hampton	2	1	1741				Sears, John	
101182	Anne	Great Britain	Bermuda	Hampton	3	2	1741				Griffin, Charles	
101183	Pugh	Great Britain	Barbados, port unspecified	Hampton	2	1	1741				Dixon, Adam	
101184	Elizabeth	Great Britain	Bermuda	Hampton	5	4	1741				Godfrey, William	
101185	Anne and Mary	Great Britain	Barbados, port unspecified	Hampton	11	10	1741				Irwin, John	
101186	Delight	Great Britain	Bermuda	Upper James River	2	1	1741				Wells, Jeremiah	
101187	Endeavour	Great Britain	Barbados, port unspecified	Hampton	2	1	1741				Morrice, William	
101188	Robert and John	Great Britain	Barbados, port unspecified	Hampton	3	2	1741				Boswell, Benjamin	
101189	Molly	Great Britain	Bermuda	Hampton	2	1	1741				Darrell, Joseph	
101190	Industry	Great Britain	Bermuda	York River	2	1	1741				Dill, Joseph	
101191	Two Brothers	Great Britain	Boston	Hampton	2	1	1742				Collins, Daniel	
101192	Pugh	Great Britain	Barbados, port unspecified	Hampton	7	6	1742				Dixon, Adam	
101193	Two Sisters	Great Britain	Barbados, port unspecified	Hampton	35	34	1742				Sinnot, Charles<br/> Conyards, Samuel	
101194	Nonpareil	Great Britain	Bermuda	Hampton	2	1	1742				Watkins, John	
101195	Dragon	Great Britain	Philadelphia	Hampton	2	1	1742				Stevens, Philip	
101196	Sea Horse	Great Britain	St. Kitts, port unspecified	Hampton	6	5	1742				Williams, John	
101197	Industry	Great Britain	Barbados, port unspecified	Hampton	2	1	1742				Malbone, Reo'd	
101198	Mary	Great Britain	Antigua, port unspecified	Hampton	4	3	1742				Thibou, John	
101199	Betty	Great Britain	Barbados, port unspecified	Hampton	7	6	1742				Revel, Isaac	
101200	Anne and Mary	Great Britain	St. Kitts, port unspecified	Hampton	7	6	1742				Irwin, John	
101201	Robert and John	Great Britain	Barbados, port unspecified	Hampton	2	1	1742				Boswell, Benjamin	
101202	Sarah and Hannah	Great Britain	Barbados, port unspecified	Upper James River	2	1	1742	0	1	0	Friend, Thomas	
101203	Vernon	Great Britain	Barbados, port unspecified	Upper James River	18	17	1742	0	1	0	Brown, John	
101204	Clyde	Great Britain	Antigua, port unspecified	Upper James River	3	2	1742				McCunn, John	
101205	Breda	Great Britain	Bermuda	Hampton	2	1	1742				Young, William	
101206	Guy	Great Britain	Barbados, port unspecified	Hampton	4	3	1742				Shurwin, John	
101207	Molly	Great Britain	Barbados, port unspecified	Hampton	15	14	1742				Baker, Joshua	
101208	Kitty and Nora	Great Britain	Barbados, port unspecified	Upper James River	4	3	1742				Robertson, William	
101209	Mary	Great Britain	Antigua, port unspecified	Hampton	3	2	1742				Thibou, John	
101210	Deborah	Great Britain	Rhode Island, port unspecified	Hampton	2	1	1742				Montgomery, Adam	
101211	Nonpareil	Great Britain	Bermuda	Hampton	2	1	1742				Gilbert, Daniel	
101212	Friendship	Great Britain	Bermuda	Hampton	2	1	1742				Jennings, Henry	
101213	Charming Molly	Great Britain	Bermuda	Hampton	2	1	1742				Butterfield, Nathaniel	
101214	Elizabeth	Great Britain	Bermuda	Hampton	2	1	1742				Gilbert, Benjamin	
101215	Molly	Great Britain	Bermuda	Hampton	2	1	1742				Darrell, Joseph	
101216	Endeavour	Great Britain	Boston	Upper James River	2	1	1742				Stilson, James	
101217	Esther	Great Britain	Bermuda	Upper James River	3	2	1742				Savage, Robert	
101218	Robert	Great Britain	Bermuda	Hampton	6	5	1742				Wood, Thomas	
101219	Speedwell	Great Britain	Philadelphia	Hampton	2	1	1743				Miers, John	
101220	Royal Rangers	Great Britain	Bermuda	Hampton	3	2	1743				Appleby, William	
101221	Industry	Great Britain	Barbados, port unspecified	Hampton	7	6	1743				Godfrey, James	
101222	Sea Flower	Great Britain	Boston	Hampton	2	1	1743				Freeman, Daniel	
101223	John and William	Great Britain	Philadelphia	Hampton	2	1	1743				Gass, John	
101224	Sanders	Great Britain	Barbados, port unspecified	Hampton	4	3	1743				Calvert, Jonathan	
101225	Kitty and Nora	Great Britain	Antigua, port unspecified	Upper James River	4	3	1743				Robertson, William	
101226	Griffin	Great Britain	Barbados, port unspecified	Rappahannock	5	4	1743				Dixon, Joshua	
101227	Phoenix	Great Britain	Barbados, port unspecified	Hampton	3	2	1743				Baker, Richard	
101228	Sarah and Hannah	Great Britain	Barbados, port unspecified	Hampton	3	2	1743				Allen, Anthony	
101229	Windsor Castle	Great Britain	Bermuda	Hampton	3	2	1743				Bell, Thomas	
101230	Industry	Great Britain	Barbados, port unspecified	Hampton	11	10	1743				Godfrey, James	
101231	Molly	Great Britain	Barbados, port unspecified	Hampton	8	7	1743				Baker, Joshua	
101232	Little Betty	Great Britain	Antigua, port unspecified	York River	14	13	1743				Gilbert, Richard	
101233	Content	Great Britain	St. Kitts, port unspecified	Hampton	7	6	1743				Moody, William	
101234	Young David	Great Britain	Barbados, port unspecified	York River	14	13	1743				Webster, Thomas	
101235	William	Great Britain	Bermuda	Hampton	3	2	1743				Griffin, Charles	
101236	Sanders	Great Britain	Barbados, port unspecified	Hampton	4	3	1743				Calvert, Jonathan	
101237	Sparrow	Great Britain	Barbados, port unspecified	Hampton	3	2	1743				Prentis, John	
101238	Elizabeth	Great Britain	Spanish Town	Hampton	7	6	1743				Ross, Richard	
101239	Cape May	Great Britain	Philadelphia	Hampton	2	1	1743				Smith, Richard	
101240	Industry	Great Britain	Barbados, port unspecified	Hampton	3	2	1743				Malbone, Reo'd	
101241	Betty	Great Britain	Barbados, port unspecified	Hampton	2	1	1743				Soper, William	
101242	Speedwell	Great Britain	Philadelphia	Hampton	3	2	1743				Curle, Samuel	
101243	Diamond	Great Britain	St. Kitts, port unspecified	Hampton	4	3	1743				Somersall, Richard	
101244	Joseph	Great Britain	Bermuda	Hampton	2	1	1743				Wainwright, William	
101245	Sarah	Great Britain	Barbados, port unspecified	York River	3	2	1743				Hayles, John	
101246	Industry	Great Britain	Barbados, port unspecified	Hampton	3	2	1743				Dill, Joseph	
101247	James	Great Britain	Barbados, port unspecified	Hampton	3	2	1744				Mollynox, Thomas	
101248	Endeavour	Great Britain	Rhode Island, port unspecified	Hampton	4	3	1744				Gibb, John	
101249	Nansem'd [Ransomed?]	Great Britain	Barbados, port unspecified	Hampton	2	1	1744				Meredith, David	
101250	Industry	Great Britain	Barbados, port unspecified	Hampton	11	10	1744				Malbone, Reo'd	
101251	Joseph	Great Britain	Antigua, port unspecified	Hampton	9	8	1744				Wainwright, William	
101252	Fredericksburgh	Great Britain	Barbados, port unspecified	Rappahannock	7	6	1744				Monkhouse, James	
101253	Peggy	Great Britain	Barbados, port unspecified	Hampton	10	9	1744				Brett, John	
101254	Barbados Packet	Great Britain	Antigua, port unspecified	Hampton	3	2	1744				Morris, William	
101255	Molly	Great Britain	Barbados, port unspecified	Hampton	6	5	1744				Baker, Joshua	
101256	Nonpareil	Great Britain	Spanish Town	Hampton	15	14	1744				Payne, Nath.	
101257	Bold Defiance	Great Britain	St. Kitts, port unspecified	Hampton	74	72	1744				Nicholls, Robert	
101258	Industry	Great Britain	Barbados, port unspecified	Hampton	2	1	1744				Malbone, Reo'd	
101259	Anne	Great Britain	Jamaica, port unspecified	Hampton	3	2	1744				Cooke, John	
101260	Peggy	Great Britain	Barbados, port unspecified	Hampton	17	16	1744				Brett, John	
101261	Cambridge	Great Britain	St. Kitts, port unspecified	Hampton	4	3	1744				Newton, George	
101262	Nesbitt	Great Britain	Antigua, port unspecified	Hampton	5	4	1744				Hall, Philip	
101263	Nansem'd [Ransomed?]	Great Britain	Barbados, port unspecified	Hampton	2	1	1744				Meredith, David	
101264	Sea Flower	Great Britain	Montserrat, port unspecified	Hampton	2	1	1744				McKenny, Robert	
101265	Two Brothers	Great Britain	Barbados, port unspecified	Hampton	16	15	1744				Orchard, William	
101266	Molly	Great Britain	Antigua, port unspecified	Hampton	3	2	1744				Crary, Thomas	
101267	Bobby	Great Britain	Barbados, port unspecified	Hampton	2	1	1744				Loyall, Paul	
101268	Honest Industry	Great Britain	Philadelphia	Hampton	3	2	1744				Landon, Samuel	
101269	May Flower	Great Britain	Bermuda	Hampton	4	3	1744				Eden, Solomon	
101270	Deborah	Great Britain	Bermuda	Hampton	2	1	1744				Brown, Samuel	
101271	Peggy	Great Britain	St. Eustatius	Hampton	2	1	1744				Brett, John	
101272	Esther	Great Britain	Bermuda	Hampton	2	1	1744				Savage, Robert	
101273	Endeavour	Great Britain	St. Kitts, port unspecified	Hampton	52	50	1745				Dickenson, John	
101274	Peggy	Great Britain	Barbados, port unspecified	Hampton	4	3	1745				Robertson, William	
101275	May Flower	Great Britain	Barbados, port unspecified	Hampton	3	2	1745				Eden, Solomon	
101276	Polly	Great Britain	Antigua, port unspecified	Hampton	3	2	1745				Ivy, Joseph	
101277	Bobby	Great Britain	Barbados, port unspecified	Hampton	2	1	1745				Loyall, Paul	
101278	Fanny	Great Britain	St. Kitts, port unspecified	Hampton	3	2	1745				Calvert, Max	
101279	Peggy	Great Britain	Barbados, port unspecified	Hampton	31	30	1745				Robertson, William	
101280	Elizabeth	Great Britain	Bermuda	Hampton	3	2	1745				Gibbs, John	
101281	Race Horse	Great Britain	Antigua, port unspecified	Hampton	6	5	1745				Hawkins, James	
101282	Orphan of Tehoa	Great Britain	Barbados, port unspecified	Hampton	13	12	1745				Evarard, John	
101283	Bobby	Great Britain	Barbados, port unspecified	Hampton	4	3	1745				Loyall, Paul	
101284	Betsy	Great Britain	Barbados, port unspecified	Hampton	20	19	1745				Lynch, Patrick	
101285	Bobby	Great Britain	Barbados, port unspecified	Hampton	12	11	1745				Loyall, Paul	
101286	Betty	Great Britain	Barbados, port unspecified	Hampton	17	16	1746				Moseley, William	
101287	Peggy	Great Britain	Barbados, port unspecified	Hampton	37	36	1746				Robertson, William	
101288	Bobby	Great Britain	Barbados, port unspecified	Hampton	16	15	1746				Loyall, Paul	
101289	Mercury	Great Britain	Barbados, port unspecified	Rappahannock	55	53	1746				Gaitskill, John	
101290	Betty	Great Britain	Barbados, port unspecified	Rappahannock	6	5	1746				Willoughby, Lemuel	
101291	Industry	Great Britain	Barbados, port unspecified	Rappahannock	57	55	1746				Tatem, Trim'r	
101292	Peggy	Great Britain	Barbados, port unspecified	Rappahannock	12	11	1746				Calvert, Cornelius	
101293	Elizabeth	Great Britain	St. Kitts, port unspecified	Hampton	25	24	1746				Loyd, Owen	
101294	Cunliffe	Great Britain	Barbados, port unspecified	York River	92	90	1746				Johnson, John	
101295	Betty	Great Britain	Barbados, port unspecified	Hampton	14	13	1746				Moseley, William	
101296	Bobby	Great Britain	Barbados, port unspecified	Hampton	12	11	1746				Loyall, Paul	
101297	Jolly Batchellor	Great Britain	Barbados, port unspecified	Hampton	4	3	1746				Newbold, Joseph	
101298	Joseph	Great Britain	Antigua, port unspecified	Rappahannock	2	1	1746				Cox, William	
101299	Eltham	Great Britain	York River	Maryland, port unspecified	101	99	1746				Pool, James	
101300	Industry	Great Britain	Barbados, port unspecified	Hampton	4	3	1746				Tatem, Trim'r	
101301	Peggy	Great Britain	Barbados, port unspecified	Hampton	2	1	1746				Calvert, Cornelius	
101302	John and Elizabeth	Great Britain	Antigua, port unspecified	Hampton	3	2	1746				Adams, Matthew	
101303	Johnny	Great Britain	Barbados, port unspecified	Hampton	9	8	1746				Loyall, William	
101304	Rawleigh	Great Britain	Barbados, port unspecified	Hampton	27	26	1747				Bishop, Edward	
101305	Delights Exchange	Great Britain	Anguilla, port unspecified	Hampton	3	2	1747				Todd, Henry	
101306	Bobby	Great Britain	Jamaica, port unspecified	Hampton	7	6	1749				Loyall, John	
101307	Industry	Great Britain	Barbados, port unspecified	Hampton	7	6	1749				Miller, Matthew	
101308	Batchelor	Great Britain	Anguilla, port unspecified	Hampton	2	1	1749				Hodge, Henry	
101309	Saint Andrew	Great Britain	Antigua, port unspecified	Hampton	32	31	1749				McLincock, William	
101310	Salley	Great Britain	Barbados, port unspecified	Hampton	4	3	1749				Haire, Parteen	
101311	Fanny	Great Britain	Barbados, port unspecified	Hampton	9	8	1749				Haire, James	
101312	Ann	Great Britain	Barbados, port unspecified	Hampton	19	18	1749				Miller, Mason	
101313	Harry	Great Britain	Barbados, port unspecified	Upper James River	158	155	1749				Tucker, Charles	
101314	John and Mary	Great Britain	Barbados, port unspecified	York River	17	16	1749				Allen, Anthony	
101315	Industry	Great Britain	Barbados, port unspecified	Hampton	2	1	1749				Miller, Matthew	
101316	Elizabeth and Mary	Great Britain	St. Kitts, port unspecified	Hampton	2	1	1749				Minors, Benjamin	
101317	Providence	Great Britain	Barbados, port unspecified	Hampton	4	3	1749				Langley, Thomas	
101318	Ann	Great Britain	Barbados, port unspecified	Hampton	4	3	1749				Miller, Mason	
101319	Scarbrough	Great Britain	Montserrat, port unspecified	Hampton	2	1	1750				Tucker, Benjamin	
101320	Kingston	Great Britain	Barbados, port unspecified	York River	2	1	1750				Allen, Anthony	
101321	Olive	Great Britain	Barbados, port unspecified	South Potomac	52	50	1750				West, John	
101322	Bobby	Great Britain	Barbados, port unspecified	Hampton	20	19	1750				Willoughby, Samuel	
101323	Joanna	Great Britain	Barbados, port unspecified	Hampton	49	48	1750				Calvert, Cornelius	
101324	Antigua Packet	Great Britain	Antigua, port unspecified	Hampton	9	8	1750				Young, David	
101325	Johnson	Great Britain	Antigua, port unspecified	Hampton	17	16	1750				Orr, John	
101326	Success	Great Britain	Barbados, port unspecified	South Potomac	26	25	1750				Cranston, Jeremiah	
101327	Joseph	Great Britain	St. Kitts, port unspecified	Hampton	32	31	1751				Jones, Henry	
101328	James Town	Great Britain	Barbados, port unspecified	Hampton	3	2	1751				Mallory, John	
101329	Relief	Great Britain	Barbados, port unspecified	Hampton	2	1	1751				Bayne, John	
101330	Providence	Great Britain	Barbados, port unspecified	Hampton	2	1	1751				Langley, Thomas	
101331	Antigua Packet	Great Britain	Antigua, port unspecified	Hampton	3	2	1751				Young, David	
101332	Industry	Great Britain	Barbados, port unspecified	Hampton	19	18	1751				Miller, Matthew	
101333	George	Great Britain	Montserrat, port unspecified	Hampton	2	1	1751				Geran, John	
101334	Success	Great Britain	Barbados, port unspecified	Hampton	17	16	1751				Cranston, Jeremiah	
